CaseID,Duration,horizon,other,casualties,Scenarios,Pol1,P1,Pol2,P2,Pol3,P3,Pol4,P4,Pol5,P5,Pol6,P6,Pol7,P7,P1_conf,P2_conf,P3_conf,P4_conf,P5_conf,P6_conf,P7_conf,t_screen,t_select,Pol_select,P1_support,P2_support,P3_support,P4_support,P5_support,P6_support,P7_support,choice_factor,FactSuccess_rate,FactCas_rate,FactOther_rate,SetA_2,SetA_3,SetB_2,SetB_3,Important,Costs,TimeFrames,TF_MC,FMC1,FMC2,reward,reward_b,T1,T10,Sex,Gender,Age,ethnic,race,party,Know,FP_Know,educ,Edu_cat,inc,Income,Scenarios_DO
331,494,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,6,5,5,6,6,5,7,155.322,80.25,1,6,3,3,6,,,,3,5,6,7,1,1,0,2,5,6,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,1000,20000,Male,0,28,White/Caucasian,4,1,Somewhat Informed,2,Bachelor's degree,4,"Less than $25,000",1,t_AllSet|S3
332,550,0,1,2,t_AllSet|S3,Accept,1,Reject,0,Reject,0,Accept,1,Reject,0,Accept,1,Reject,0,6,4,5,4,6,3,5,200.158,55.439,1,6,,,5,,4,,1,6,3,5,1,1,0,2,6,5,In the short term (this month),0,An American military base,Afghanistan,A reward of $3400 this month,0,5000,20000,Female,1,44,White/Caucasian,4,4,Somewhat Informed,2,Bachelor's degree,4,"$25,000 - $50,000",2,t_AllSet|S3
333,584,0,1,2,t_AllSet|S3,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,Accept,1,Reject,0,6,1,1,1,1,6,1,83.363,162.181,1,6,,,,,3,,1,7,7,7,1,1,0,2,7,7,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,10000,100000,Female,1,26,White/Caucasian,4,1,Somewhat Informed,2,Bachelor's degree,4,"$50,001 - $75,000",3,t_AllSet|S3
334,500,0,1,2,t_AllSet|S3,Accept,1,Reject,0,Reject,0,Accept,1,Reject,0,Accept,1,Reject,0,7,7,7,7,7,7,7,137.838,63.801,1,7,,,5,,2,,3,6,7,6,1,1,0,2,5,7,In the short term (this month),0,An American military base,Afghanistan,A reward of $3400 this month,0,10000,1000000,Female,1,26,Hispanic/Latino,2,6,Somewhat Informed,2,Some college,3,"$25,000 - $50,000",2,t_AllSet|S3
335,389,0,1,2,t_AllSet|S3,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,5,7,7,7,7,7,7,131.843,46.749,1,5,,,,,,,1,7,4,5,1,1,0,2,7,4,In the short term (this month),0,An American military base,Afghanistan,A reward of $3400 this month,0,100000,1000000,Female,1,46,White/Caucasian,4,2,Somewhat Informed,2,High school,2,"$25,000 - $50,000",2,t_AllSet|S3
336,207,0,1,2,t_AllSet|S3,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,1,1,1,1,1,1,1,40.701,16.093,,,,,,,,,2,1,7,4,0,1,0,2,1,7,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,400,1000,Female,1,55,White/Caucasian,4,1,Well Informed,3,Some college,3,"$75,001 - $100,000",4,t_AllSet|S3
337,210,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,7,7,7,7,7,7,7,53.542,37.742,1,6,4,,,,,,2,7,7,7,0,1,0,2,7,7,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,2000,20000,Female,1,34,White/Caucasian,4,1,Very Informed,4,Less than high school,1,"Less than $25,000",1,t_AllSet|S3
338,185,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,7,7,6,6,6,6,5,23.559,21.451,3,7,6,7,6,7,6,7,1,6,7,6,0,1,1,0,6,7,In the short term (this month),0,An American military base,Iran,A reward of $3400 this month,0,200,800,Male,0,36,White/Caucasian,4,6,Very Informed,4,Bachelor's degree,4,"Less than $25,000",1,t_AllSet|S3
339,588,0,1,2,t_AllSet|S3,Reject,0,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Accept,1,6,7,3,5,3,5,5,24.329,23.402,2,,5,4,,,,6,2,2,6,3,1,2,0,0,3,7,In the short term (this month),0,An American military base,Iran,A reward of $3400 this month,0,400,399,Female,1,40,White/Caucasian,4,3,Well Informed,3,Bachelor's degree,4,"$75,001 - $100,000",4,t_AllSet|S3
340,257,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Reject,0,Accept,1,Reject,0,Accept,1,Reject,0,5,6,3,6,5,5,4,44.625,21.325,1,5,6,,5,,6,,1,5,6,5,1,2,0,0,5,5,In the short term (this month),0,An American military base,Afghanistan,A reward of $3400 this month,0,150,500,Male,0,27,White/Caucasian,4,5,Well Informed,3,Bachelor's degree,4,"$75,001 - $100,000",4,t_AllSet|S3
341,417,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,5,4,4,5,4,4,2,55.74,35.129,1,5,3,3,5,3,4,,1,4,5,3,1,2,0,0,4,5,In the short term (this month),0,An American military base,Afghanistan,A reward of $3400 this month,0,200,500,Female,1,28,White/Caucasian,4,2,Somewhat Informed,2,Bachelor's degree,4,"$25,000 - $50,000",2,t_AllSet|S3
342,699,0,1,2,t_AllSet|S3,Accept,1,Reject,0,Reject,0,Accept,1,Reject,0,Reject,0,Reject,0,6,3,2,5,2,4,1,231.124,120.281,1,7,,,5,,,,1,6,1,5,1,2,0,0,7,7,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,200,500,Male,0,57,White/Caucasian,4,4,Well Informed,3,High school,2,"$25,000 - $50,000",2,t_AllSet|S3
343,497,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,7,6,5,7,6,5,7,84.727,110.304,1,7,4,3,7,3,7,4,1,7,6,5,1,2,0,0,7,6,In the short term (this month),0,An American military base,Afghanistan,A reward of $3400 this month,0,200,800,Male,0,44,Black/African American,1,7,Very Informed,4,Masters degree or higher,5,"$25,000 - $50,000",2,t_AllSet|S3
